Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
2.020612121,347.8476965,60499.00998,331.1093693,502.2633365,58.8166513,0
5.119891867,741.628769,275006.6155,233.5944458,421.4366277,55.68759893,0
5.721498334,822.0941733,337919.4149,226.242792,414.1864393,58.05004318,0
1.338061387,201.8496402,20371.63862,263.4358089,446.9614315,59.25212052,0
4.999112512,850.2602521,361471.2481,329.03193,501.1962725,55.09691763,0
7.117697573,1109.111827,615064.5227,261.5246332,447.714104,56.65882145,0
4.280258559,684.311538,234141.1405,269.6945113,455.5610075,57.81144308,0
0.919007811,158.5683063,12571.95388,336.2109993,505.4722727,59.59862243,0
1.77083117,300.6350167,45190.70662,327.2529287,499.1859448,57.66583336,0
0.537290879,91.28624547,4166.589306,315.9828592,492.996295,56.5925772,0
0.670591803,112.4763694,6325.466837,301.7055501,479.878896,57.82402775,0
3.756850632,595.0810532,177060.7299,262.4342484,449.6394842,57.97272312,0
8.609990184,1295.107798,838652.104,241.7955204,429.8071774,55.74042216,0
6.343740324,965.5310336,466125.0884,247.3013201,435.8551359,55.1215434,0
9.481563778,1359.599635,924255.5831,225.8004502,414.3287386,54.68253055,0
8.377600412,1197.597604,717120.0107,226.1114755,414.2899162,55.48736548,0
3.814360474,605.3777023,183241.0812,283.6047431,463.5471837,55.79909821,0
3.641007819,589.135627,173540.3935,307.0169181,480.6899658,58.01289337,0
0.606839192,96.69097562,4674.572383,284.8533327,465.6832957,60.01903909,0
1.295347379,202.8581533,20575.71519,286.4051451,462.4583079,59.34326363,0
2.048121807,341.7504068,58396.67028,305.4246823,481.9720439,59.87107099,0
62.10758671,8017.245551,32138113.11,196.8700273,381.5178407,51.07223888,0
3.33736764,492.9067082,121478.5115,303.1221286,475.3017383,56.56940844,0
2.301036582,352.1305748,61997.97084,264.2163348,446.2278678,57.45701959,0
9.36064595,1488.404499,1107673.977,275.8770506,461.1821613,54.70975059,0
2.435842187,340.7320493,58049.16473,226.7985377,411.9744726,58.90418936,0
2.316202316,372.1462233,69246.40575,281.9171791,465.3354675,57.38798211,0
8.288249929,1380.632509,953073.0622,321.4628261,495.1436491,55.50850628,0
2.028626011,337.7674667,57043.43077,317.5955566,492.6765146,57.94862393,0
1.494164697,247.0143122,30508.03523,307.7320764,484.7614421,59.59232366,0
0.398185996,65.11654933,2120.082498,308.0356596,483.7325031,60.04519079,0
0.134871671,19.65108228,193.0825173,255.2495515,435.2557969,68.42392545,0
0.285820757,48.42522788,1172.501348,328.4703798,500.4687876,61.06559588,0
2.470326404,348.5612786,60747.48247,229.9902024,414.7737062,59.85408259,0
2.48927131,340.6437763,58019.09117,225.7019742,409.8949808,59.27691832,0
0.241958025,38.99995044,760.4980672,291.473762,468.5938467,62.77665959,0
1.5224329,228.4238843,26088.73546,241.2009589,429.6418176,59.54981233,0
0.902702086,144.590368,10453.18726,300.5429549,476.9648425,61.21036543,0
0.184918724,26.25754734,344.729396,273.4125133,446.2591503,69.37170992,0
0.186511478,26.44893624,349.773114,288.2729758,457.4611822,68.49285351,0
0.237672022,33.11423432,548.2762574,259.7545745,435.2889612,71.31628279,0
0.34903005,56.33373922,1586.745087,291.2852465,470.176373,59.11722566,0
4.143642736,602.4840341,181493.5057,227.3748953,416.4649086,57.53687914,0
4.167555747,604.2963408,182587.0338,221.7201459,412.034818,57.61991628,0
0.217237717,34.89658384,608.8857819,293.8790603,472.294532,62.26198663,0
1.315842549,194.3999359,18895.66754,250.9306692,434.7647818,59.83373058,0
6.616429989,871.0618124,379374.3405,220.9784081,402.9758494,52.4509458,0
6.463214008,844.4338258,356534.2431,219.1378746,401.1241018,55.84608246,0
5.460157051,720.6986784,259703.2925,209.0359099,393.0377741,61.06557191,0
6.94185817,887.9356702,394214.8772,268.5415843,432.0834676,53.0096343,0
6.555849427,845.4546035,357396.7433,258.5618132,428.9796197,51.48897053,0
4.662755683,610.9453205,186627.0923,203.9777066,390.3207126,57.76829191,0
8.543485094,1129.996562,638446.1154,204.0089098,389.3756662,57.3371196,0
1.327187081,195.2277983,19056.94661,239.1239898,426.5534328,61.44397199,0
3.795196665,474.5140507,112581.7922,242.7868326,417.5069908,56.88193541,0
0.444028844,72.94451587,2660.451198,309.5870682,483.6672268,57.97806804,0
25.53192857,3649.261082,6658553.224,235.09634,420.8161031,52.75372588,0
11.18104857,1666.65165,1388863.861,250.073233,435.6356913,54.6378324,0
19.76975334,2953.691892,4362147.897,268.0767462,445.4005563,55.03475338,0
9.091047433,1332.871736,888273.5322,309.5027998,477.4063674,53.69012341,0
5.344056916,827.3740243,342273.888,342.1871028,500.7811862,56.17799733,0
10.7916086,1618.874536,1310377.381,287.4527431,458.9988747,55.0583455,0
8.818193718,1480.332115,1095691.585,300.7001094,481.8960756,53.27794041,0
17.01183706,2757.035074,3800621.198,262.0745779,450.4213292,53.92449133,0
10.26691976,1730.637337,1497552.796,318.0597025,491.9457824,54.05170696,0
13.77146274,2333.571353,2722777.631,321.741145,495.9248376,52.87833377,0
9.994529452,1718.160028,1476036.942,327.1140089,499.7481155,55.3154613,0
12.61884854,2157.714917,2327866.832,330.7962483,502.5467095,55.13340568,0
16.71136441,2834.471784,4017115.148,317.8323969,493.2358206,55.3564785,0
19.92838464,3372.219146,5685930.986,316.2058827,491.9807932,55.44594851,0
