Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
1515.609617,204622.6555,20935215574,181.8577246,374.3703792,41.34981657,5
27149.84421,3663402.078,6.71E+12,180.1491922,372.9632104,34.25361398,5
5997.459167,758386.6928,2.88E+11,162.526103,352.8887044,34.9250615,5
2836.049311,355454.7342,63174034029,157.0200334,347.4574142,36.46144717,5
1587.683074,191680.1345,18370636977,147.8934471,337.0719968,35.05259774,5
25797.19388,3471666.134,6.03E+12,222.1369835,402.303826,33.96211184,5
6360.191343,811195.714,3.29E+11,158.7964143,350.9358868,36.64221097,5
21130.06427,2610563.248,3.41E+12,149.4269887,340.3294327,31.7152631,5
1548.049357,197345.8048,19472683343,166.0810188,356.9961135,38.12287421,5
2111.748114,312362.8765,48785283306,245.4451553,428.9609452,42.7478161,5
711.9288253,91599.36293,4195221645,169.9204047,361.6315528,41.37077487,5
685.0291252,104799.0529,5491420742,275.8873887,459.2308183,45.11401211,5
4622.155566,605640.676,1.83E+11,164.187566,356.4435718,38.9218786,5
3774.987179,511827.8197,1.31E+11,183.2826346,375.1222606,39.13921266,5
4788.428933,627815.3432,1.97E+11,163.6746846,355.7326515,41.0606304,5
386.8851627,62070.70608,1926386276,289.0167922,469.4169762,49.85980419,5
4282.548665,552224.1386,1.52E+11,164.0724407,355.3602722,39.26356706,5
3209.903561,428743.3568,91910432983,173.2464555,365.7486146,39.174532,5
3917.371667,488249.6114,1.19E+11,150.8110895,341.1452699,36.13317504,5
2964.410035,395506.3458,78212634789,169.0798988,362.0123884,40.83602441,5
2078.60037,276612.9283,38257356042,188.371365,377.8865044,40.50870745,5
483.1618195,54429.47238,1481283732,128.4527865,315.2092678,37.09712137,5
492.264595,58433.34243,1707227754,139.7865634,329.382871,40.41009205,5
551.7560753,63769.78628,2033292821,133.5824671,321.5546325,38.19257313,5
594.8309408,70678.35427,2497714881,137.9686342,327.6398201,40.77931435,5
567.9958588,63988.27401,2047249606,128.8025317,315.5449142,35.94015852,5
594.4754438,71076.87033,2525960748,140.9358835,330.9389565,40.46490336,5
454.5885962,51356.91865,1318766547,130.5419486,317.4224883,37.46747972,5
492.0689822,60274.08598,1816482721,148.8182226,339.7682359,42.16066179,5
970.5579971,129576.3002,8395008789,193.84756,382.9945035,42.84363905,5
916.8087232,124761.1092,7782667187,200.5967921,389.8200498,42.91749708,5
127.3762498,16723.20554,139832801.8,198.3280083,382.968091,48.01502454,5
93.90904144,11498.14421,66103660.09,164.1685419,351.5792419,46.86487955,5
105.6662102,13979.02202,97706528.3,199.6902727,384.6368246,48.71617722,5
20948.76217,2921590.081,4.27E+12,193.6777883,385.9529054,36.93979768,5
33.39660425,4092.411743,16747833.87,106.8863104,196.2967086,15.8772855,6
